번호,등록번호,서명(자료명),저자,출판사,출판년도,청구기호,입수유형,자료형태,,,가격,,,도서상태,등록일
124,2727,참새. 박새,교육문화사,교육문화사,1999,408 하68ㄱ v.71,구입,단행본,,,￦,"10,000",,대출가능,2013-11-20
125,2728,송사리의 생활,교육문화사,교육문화사,1999,408 하68ㄱ v.72,구입,단행본,,,￦,"10,000",,대출가능,2013-11-20
126,2729,우리 몸의 비밀,교육문화사,교육문화사,1999,408 하68ㄱ v.73,구입,단행본,,,￦,"10,000",,대출가능,2013-11-20
127,2730,항공. 통신. 우주,교육문화사,교육문화사,1999,408 하68ㄱ v.74,구입,단행본,,,￦,"10,000",,대출가능,2013-11-20
128,2731,광물. 암석,교육문화사,교육문화사,1999,408 하68ㄱ v.75,구입,단행본,,,￦,"10,000",,대출가능,2013-11-20
129,2732,컴퓨터가 하는 일,교육문화사,교육문화사,1999,408 하68ㄱ v.76,구입,단행본,,,￦,"10,000",,대출가능,2013-11-20
130,2753,자연의 발견,노벨과 개미,노벨과 개미,1999,080 노44ㅅ v.7-2,구입,단행본,,,￦,"5,000",,대출가능,2013-11-20
131,2754,과학의 탐구,노벨과 개미,노벨과 개미,1999,080 노44ㅅ v.7-3,구입,단행본,,,￦,"5,000",,대출가능,2013-11-20
132,2755,생명의 탐구,노벨과 개미,노벨과 개미,1999,080 노44ㅅ v.7-4,구입,단행본,,,￦,"5,000",,대출가능,2013-11-20
133,2756,문명의 창조,노벨과 개미,노벨과 개미,1999,080 노44ㅅ v.7-5,구입,단행본,,,￦,"5,000",,대출가능,2013-11-20
134,2757,생활의 창조,노벨과 개미,노벨과 개미,1999,080 노44ㅅ v.7-6,구입,단행본,,,￦,"5,000",,대출가능,2013-11-20
135,2758,농촌의 생활,노벨과 개미,노벨과 개미,1999,080 노44ㅅ v.1-1,구입,단행본,,,￦,"5,000",,대출가능,2013-11-20
136,2759,어촌의 생활,노벨과 개미,노벨과 개미,1999,080 노44ㅅ v.1-2,구입,단행본,,,￦,"5,000",,대출가능,2013-11-20
137,2760,산골 마을,노벨과 개미,노벨과 개미,1999,080 노44ㅅ v.1-3,구입,단행본,,,￦,"5,000",,대출가능,2013-11-20
138,2761,목장의 생활,노벨과 개미,노벨과 개미,1999,080 노44ㅅ v.1-4,구입,단행본,,,￦,"5,000",,대출가능,2013-11-20
139,2763,방송국,노벨과 개미,노벨과 개미,1999,080 노44ㅅ v.1-6,구입,단행본,,,￦,"5,000",,대출가능,2013-11-20
140,2764,병원,노벨과 개미,노벨과 개미,1999,080 노44ㅅ v.1-7,구입,단행본,,,￦,"5,000",,대출가능,2013-11-20
141,2765,철길과 기관사,노벨과 개미,노벨과 개미,1999,080 노44ㅅ v.1-8,구입,단행본,,,￦,"5,000",,대출가능,2013-11-20
142,2766,꽃이 오는 길,노벨과 개미,노벨과 개미,1999,080 노44ㅅ v.1-9,구입,단행본,,,￦,"5,000",,대출가능,2013-11-20
143,2767,밤에 일하는 사람,노벨과 개미,노벨과 개미,1999,080 노44ㅅ v.1-10,구입,단행본,,,￦,"5,000",,대출가능,2013-11-20
144,2768,물질의 성질,노벨과 개미,노벨과 개미,1999,080 노44ㅅ v.2-1,구입,단행본,,,￦,"5,000",,대출가능,2013-11-20
145,2769,빛의 성질,노벨과 개미,노벨과 개미,1999,080 노44ㅅ v.2-2,구입,단행본,,,￦,"5,000",,대출가능,2013-11-20
146,2770,소리,노벨과 개미,노벨과 개미,1999,080 노44ㅅ v.2-3,구입,단행본,,,￦,"5,000",,대출가능,2013-11-20
147,2771,열의 전달,노벨과 개미,노벨과 개미,1999,080 노44ㅅ v.2-4,구입,단행본,,,￦,"5,000",,대출가능,2013-11-20
148,2772,전기,노벨과 개미,노벨과 개미,1999,080 노44ㅅ v.2-5,구입,단행본,,,￦,"5,000",,대출가능,2013-11-20
149,2773,마찰력,노벨과 개미,노벨과 개미,1999,080 노44ㅅ v.2-6,구입,단행본,,,￦,"5,000",,대출가능,2013-11-20
150,2774,힘의 이용,노벨과 개미,노벨과 개미,1999,080 노44ㅅ v.2-7,구입,단행본,,,￦,"5,000",,대출가능,2013-11-20
151,2775,날씨,노벨과 개미,노벨과 개미,1999,080 노44ㅅ v.2-8,구입,단행본,,,￦,"5,000",,대출가능,2013-11-20
152,2776,움직이는 땅,노벨과 개미,노벨과 개미,1999,080 노44ㅅ v.2-9,구입,단행본,,,￦,"5,000",,대출가능,2013-11-20
153,2777,우주,노벨과 개미,노벨과 개미,1999,080 노44ㅅ v.2-10,구입,단행본,,,￦,"5,000",,대출가능,2013-11-20
154,2778,들과 곤충,노벨과 개미,노벨과 개미,1999,080 노44ㅅ v.3-1,구입,단행본,,,￦,"5,000",,대출가능,2013-11-20
155,2779,한라산의 식물,노벨과 개미,노벨과 개미,1999,080 노44ㅅ v.3-2,구입,단행본,,,￦,"5,000",,대출가능,2013-11-20
156,2781,강과 생물,노벨과 개미,노벨과 개미,1999,080 노44ㅅ v.3-4,구입,단행본,,,￦,"5,000",,대출가능,2013-11-20
157,2782,바닷가 생물,노벨과 개미,노벨과 개미,1999,080 노44ㅅ v.3-5,구입,단행본,,,￦,"5,000",,대출가능,2013-11-20
158,2783,섬과 바다새,노벨과 개미,노벨과 개미,1999,080 노44ㅅ v.3-6,구입,단행본,,,￦,"5,000",,대출가능,2013-11-20
159,2785,저수지와 철새,노벨과 개미,노벨과 개미,1999,080 노44ㅅ v.3-8,구입,단행본,,,￦,"5,000",,대출가능,2013-11-20
160,2786,숲속의 동물,노벨과 개미,노벨과 개미,1999,080 노44ㅅ v.3-9,구입,단행본,,,￦,"5,000",,대출가능,2013-11-20
161,2787,도시의 새,노벨과 개미,노벨과 개미,1999,080 노44ㅅ v.3-10,구입,단행본,,,￦,"5,000",,대출가능,2013-11-20
162,2788,탄생과 성장,노벨과 개미,노벨과 개미,1999,080 노44ㅅ v.4-1,구입,단행본,,,￦,"5,000",,대출가능,2013-11-20
163,2789,곤충의 탈바꿈,노벨과 개미,노벨과 개미,1999,080 노44ㅅ v.4-2,구입,단행본,,,￦,"5,000",,대출가능,2013-11-20
164,2790,씨의 여행,노벨과 개미,노벨과 개미,1999,080 노44ㅅ v.4-3,구입,단행본,,,￦,"5,000",,대출가능,2013-11-20
165,2791,집 짓기,노벨과 개미,노벨과 개미,1999,080 노44ㅅ v.4-4,구입,단행본,,,￦,"5,000",,대출가능,2013-11-20
166,2792,무리 생활,노벨과 개미,노벨과 개미,1999,080 노44ㅅ v.4-5,구입,단행본,,,￦,"5,000",,대출가능,2013-11-20
167,2793,먹이 사슬,노벨과 개미,노벨과 개미,1999,080 노44ㅅ v.4-6,구입,단행본,,,￦,"5,000",,대출가능,2013-11-20
168,2794,몸을 지키는 방법,노벨과 개미,노벨과 개미,1999,080 노44ㅅ v.4-7,구입,단행본,,,￦,"5,000",,대출가능,2013-11-20
169,2795,겨울나기,노벨과 개미,노벨과 개미,1999,080 노44ㅅ v.4-8,구입,단행본,,,￦,"5,000",,대출가능,2013-11-20
170,2796,환경과 발,노벨과 개미,노벨과 개미,1999,080 노44ㅅ v.4-9,구입,단행본,,,￦,"5,000",,대출가능,2013-11-20
171,2797,나는 어디서,노벨과 개미,노벨과 개미,1999,080 노44ㅅ v.4-10,구입,단행본,,,￦,"5,000",,대출가능,2013-11-20
172,2798,도구의 발달,노벨과 개미,노벨과 개미,1999,080 노44ㅅ v.5-1,구입,단행본,,,￦,"5,000",,대출가능,2013-11-20
173,2799,물의 이용,노벨과 개미,노벨과 개미,1999,080 노44ㅅ v.5-2,구입,단행본,,,￦,"5,000",,대출가능,2013-11-20
174,2800,불의 이용,노벨과 개미,노벨과 개미,1999,080 노44ㅅ v.5-3,구입,단행본,,,￦,"5,000",,대출가능,2013-11-20
175,2802,집 이야기,노벨과 개미,노벨과 개미,1999,080 노44ㅅ v.5-5,구입,단행본,,,￦,"5,000",,대출가능,2013-11-20
176,2803,책 이야기,노벨과 개미,노벨과 개미,1999,080 노44ㅅ v.5-6,구입,단행본,,,￦,"5,000",,대출가능,2013-11-20
177,2804,길과 탈것,노벨과 개미,노벨과 개미,1999,080 노44ㅅ v.5-7,구입,단행본,,,￦,"5,000",,대출가능,2013-11-20
178,2805,편지와 전화,노벨과 개미,노벨과 개미,1999,080 노44ㅅ v.5-8,구입,단행본,,,￦,"5,000",,대출가능,2013-11-20
179,2806,우주 지구 사람,노벨과 개미,노벨과 개미,1999,080 노44ㅅ v.5-9,구입,단행본,,,￦,"5,000",,대출가능,2013-11-20
180,2807,자연과 사람,노벨과 개미,노벨과 개미,1999,080 노44ㅅ v.5-10,구입,단행본,,,￦,"5,000",,대출가능,2013-11-20
181,2808,옛날과 오늘,노벨과 개미,노벨과 개미,1999,080 노44ㅅ v.6-1,구입,단행본,,,￦,"5,000",,대출가능,2013-11-20
182,2809,토론과 선거,노벨과 개미,노벨과 개미,1999,080 노44ㅅ v.6-2,구입,단행본,,,￦,"5,000",,대출가능,2013-11-20
183,2810,돈과 생활,노벨과 개미,노벨과 개미,1999,080 노44ㅅ v.6-3,구입,단행본,,,￦,"5,000",,대출가능,2013-11-20
184,2811,국제교류,노벨과 개미,노벨과 개미,1999,080 노44ㅅ v.6-4,구입,단행본,,,￦,"5,000",,대출가능,2013-11-20
185,2812,남자와 여자,노벨과 개미,노벨과 개미,1999,080 노44ㅅ v.6-5,구입,단행본,,,￦,"5,000",,대출가능,2013-11-20
186,2813,약속과 규칙,노벨과 개미,노벨과 개미,1999,080 노44ㅅ v.6-6,구입,단행본,,,￦,"5,000",,대출가능,2013-11-20
187,2814,배움과 가르침,노벨과 개미,노벨과 개미,1999,080 노44ㅅ v.6-7,구입,단행본,,,￦,"5,000",,대출가능,2013-11-20
188,2815,놀이,노벨과 개미,노벨과 개미,1999,080 노44ㅅ v.6-8,구입,단행본,,,￦,"5,000",,대출가능,2013-11-20
189,2816,말과 글,노벨과 개미,노벨과 개미,1999,080 노44ㅅ v.6-9,구입,단행본,,,￦,"5,000",,대출가능,2013-11-20
190,2817,예술과 생활,노벨과 개미,노벨과 개미,1999,080 노44ㅅ v.6-10,구입,단행본,,,￦,"5,000",,대출가능,2013-11-20
